StaffID,Name,Age,Phone,Address,SSN,DOB
567578277115,Juan Johnson,57,(463) 522-1952,"8822 Jared Forks, New Derekfort, RI 96954",295-92-5492,05/10/1967
680380373741,Suzanne Massey,33,(001) 425-8582,"1220 Heidi Rue Apt. 998, West Haleyburgh, CO 05222",011-15-5934,01/02/1992
764805878452,Michael Wood,50,(001) 473-2881,"6409 Samantha Extension, Cunninghamfurt, CO 84918",603-52-5481,02/26/1975
052268168962,Joy Castillo,21,(487) 867-4238,"271 Timothy Port Suite 814, Hallville, FL 47616",832-13-2272,02/06/2004
072453508448,Samantha Taylor,50,(130) 068-9717,"03374 Walker Park Suite 851, West Ashleybury, MN 50460",882-98-2384,01/21/1975
970016550340,Curtis Parsons,38,(154) 692-1658,"417 Martinez Drives Suite 325, Perezfurt, NH 67810",473-73-3616,06/19/1986
708858112057,Katelyn Edwards,23,(101) 756-3609,"503 Alan Place, East Darrenborough, WA 61592",203-01-8524,07/30/2001
876947014501,Andrea Thompson,22,(366) 706-3609,"USS Aguilar, FPO AP 48665",847-44-7437,11/23/2002
416266465455,Jose King,35,(140) 292-6395,"171 Harrison Motorway, Davidview, CO 74554",518-43-3827,03/05/1990
050652498632,John Mcconnell,63,(708) 673-6347,"4579 Tanya Pike, East Kevinhaven, TX 16590",061-20-5617,10/15/1961
704290875989,Marc Martin,30,(636) 732-6058,"97939 Johnson Oval Suite 830, North Dennismouth, TX 80451",230-85-1787,05/22/1994
907764725033,Matthew Mcneil,56,(157) 325-8576,"7835 Andrew Fords, Port Robertshire, WY 54423",554-27-0068,07/28/1968
566358979553,Susan Parker,25,(181) 197-0369,"90985 Steven Creek, Ramirezbury, MS 98277",519-44-3741,06/17/1999
258857912095,Brandon Moore,28,(199) 718-7656,"63044 Wilson Highway, Christinaborough, ND 71531",062-44-8445,11/14/1996
940271734361,Terry Weiss,42,(145) 251-9861,"0835 Angela Station, East Heather, MO 26899",624-90-7193,01/01/1983
500679238339,Nathan Kline,46,(133) 752-4801,"19041 Jennifer Flats Suite 716, Martinezshire, MD 23325",304-31-7160,10/21/1978
133556514415,Russell Little,53,(155) 840-3824,"5877 Rodney Extension, East Jasminfort, AK 31760",084-40-1613,09/21/1971
054605752585,Toni Smith,57,(001) 586-1837,"34228 Stephens Falls, Port Lori, VT 21058",250-98-9175,01/22/1968
752121016565,Lauren Jackson,55,(840) 730-6268,"871 Melissa Place Apt. 103, Coleview, MI 87249",406-34-1256,01/10/1970
077594999085,Natalie Hodge,40,(001) 081-7372,"420 Roman Village Apt. 965, Turnerberg, LA 92380",340-45-9882,03/14/1985
876799611481,James Woodard,23,(933) 634-8282,"4647 Kristine Fields Suite 710, New Dakota, WY 00638",846-28-3032,05/11/2001
304351629479,Vincent Ward,31,(000) 924-3675,"020 Gomez Fords, Gonzalezburgh, HI 65552",674-20-9690,09/13/1993
439833950222,Mark Lozano,55,(006) 902-8164,"052 Werner Shoals, Toddfort, MA 35834",662-10-7515,02/25/1970
154273505902,Kayla Hansen,39,(976) 296-2191,"4158 Alan Rest Apt. 216, Bowersfort, AK 41564",648-18-1394,12/21/1985
712356614295,Nicole Perez,65,(600) 962-8466,"782 Dawn Radial, Port Christopher, LA 35611",259-28-6606,11/27/1959
278034503751,Shannon Mills,56,(001) 104-2282,"7577 Christopher Mill, Frankside, OH 56320",532-10-3594,01/27/1969
